n,bubble,select,insert,merge,quick,heap
500,564468,380540,190717,38902,32427,8651
1000,2247179,1511701,749678,84818,67330,19743
2000,8960997,6025097,2965996,183650,143953,44613
5000,56075088,37567572,18587587,507642,396011,127799
10000,224592080,150140487,74617079,1085298,875721,280606
15000,506777875,337718792,169315374,1685298,1466289,442679
20000,899286195,600294326,299336194,2310610,2171977,610783
25000,1405521608,937877401,468084107,2945610,2577652,784323
30000,2024011468,1350452026,674086467,3580610,3119135,960921
35000,2759931978,1838033600,922519477,4231234,3623357,1140324
40000,3604419611,2400614146,1204519610,4901234,4205353,1322090
